Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
workplace,female,protective,0.0050361287497262,0.000857362196552,NO
workplace,female,proactive,0.0048171666301729,0.0007547784627575,NO
workplace,female,overwhelmed by tension,0.004160280271513,0.007567442268325,NO
workplace,female,empathetic,0.004160280271513,0.0053013946666089,NO
workplace,female,professional,0.004160280271513,0.0132771532426567,NO
workplace,female,emotionally expressive,0.004160280271513,0.0088538768258172,NO
workplace,female,nostalgic,0.004160280271513,0.0010781628510975,NO
workplace,female,takes initiative,0.0039413181519597,0.0125278542698248,NO
workplace,female,responsible,0.0037223560324063,0.0012424132910031,NO
workplace,female,experiences frustration and anxiety,0.003503393912853,0.0245198856948594,NO
workplace,female,resilient,0.0032844317932997,0.0229848096025592,NO
workplace,female,trapped in monotonous routine,0.0028465075541931,0.0008265061145046,NO
workplace,female,manages stress effectively,0.0026275454346398,0.0357367802234613,NO
workplace,female,organized,0.0024085833150864,0.0094334421552851,NO
workplace,female,fears uncertainty,0.0021896211955331,0.032753632522609,NO
workplace,female,meticulous,0.0019706590759798,0.0378249617692268,NO
workplace,female,seeks emotional release,0.0017516969564265,0.0130656349450397,NO
workplace,female,driven,0.0017516969564265,0.0130656349450397,NO
workplace,female,collaborates with Henry,0.0013137727173199,0.0407928218968601,NO
workplace,female,seeks clarity,0.0013137727173199,0.0407928218968601,NO
workplace,female,visits construction site for art project,0.0013137727173199,0.0407928218968601,NO
art leisure,male,supportive,0.0184006640841173,2.2955348959026703e-19,NO
art leisure,male,observant,0.0159103486441615,3.294424407475096e-11,NO
art leisure,male,reassuring,0.0063641394576646,7.799039519328456e-06,NO
art leisure,male,thoughtful,0.0055340343110127,2.1720762895814778e-07,NO
art leisure,male,attentive to others,0.0029053680132816,0.0073381894722818,NO
art leisure,male,plays guitar,0.0029053680132816,0.0106646056438389,NO
art leisure,male,charming,0.0027670171555063,4.711242788225298e-05,NO
art leisure,male,patient,0.002628666297731,0.0011380068339538,NO
art leisure,male,encourages others,0.002628666297731,0.0158224872135771,NO
art leisure,male,provides comfort,0.0023519645821804,0.0004534234187887,NO
art leisure,male,reserved,0.0019369120088544,0.0021001965723832,NO
art leisure,male,cautious,0.0017985611510791,0.0119286039000291,NO
art leisure,male,values quiet,0.0017985611510791,0.0119286039000291,NO
art leisure,male,skeptical,0.0016602102933038,0.0057940799280965,NO
art leisure,male,discreet,0.0016602102933038,0.0300782392426901,NO
art leisure,male,engages in quiet conversation,0.0016602102933038,0.0092546108864896,NO
art leisure,male,calm,0.0015218594355285,0.0054184526191732,NO
art leisure,male,engaged in artistic debate,0.0015218594355285,0.0149333268637985,NO
art leisure,male,loyal companion,0.0011068068622025,0.01317480318294,NO
art leisure,male,shows growing frustration,0.0011068068622025,0.0427856139858001,NO
art leisure,male,follows someone’s lead,0.0011068068622025,0.0265398030940436,NO
art leisure,male,approachable,0.0011068068622025,0.0265398030940436,NO
art leisure,male,gift-giver,0.0011068068622025,0.0265398030940436,NO
art leisure,male,choreographer,0.0011068068622025,0.0427856139858001,NO
art leisure,male,appears unexpectedly,0.0008301051466519,0.0409735267755649,NO
art leisure,female,emotional,0.0240365247750772,3.819296099667671e-20,NO
art leisure,female,loves art,0.0132939438700147,2.475952914579416e-12,NO
art leisure,female,curious,0.0127568148247616,5.846788535123791e-18,NO
art leisure,female,expressive,0.0103397341211226,1.607813430701162e-07,NO
art leisure,female,values meaningful experiences,0.0092654760306163,6.819246828817687e-08,NO
art leisure,female,nostalgic,0.0087283469853632,3.804955317385157e-07,NO
art leisure,female,enthusiastic,0.0085940647240499,2.135147756898653e-06,NO
art leisure,female,values friendship,0.0069826775882905,1.2100269147278625e-06,NO
art leisure,female,hesitant,0.0060427017590976,0.0003304277912974,NO
art leisure,female,reflective,0.0052370081912179,8.191351944367834e-05,NO
art leisure,female,excited,0.0042970323620249,1.394311151162798e-06,NO
art leisure,female,feels adrenaline from anticipation,0.0040284678393984,2.115008727304258e-06,NO
art leisure,female,determined,0.0037599033167718,0.0001139526668155,NO
art leisure,female,resilient,0.0034913387941452,8.619951417324429e-06,NO
art leisure,female,creative,0.0032227742715187,0.0134664090396468,NO
art leisure,female,embraces emotional connection,0.0029542097488921,0.0255745946705865,NO
art leisure,female,experiences intense emotions,0.0028199274875788,0.0009209609870062,NO
art leisure,female,passionate about music,0.0018799516583859,0.0169201121787073,NO
art leisure,female,attends a symphony performance,0.0018799516583859,0.0053626767000426,NO
art leisure,female,joyful,0.001477104874446,0.0054184526191732,NO
art leisure,female,draws from past experiences,0.001477104874446,0.0361525200101503,NO
art leisure,female,finds comfort in familiar connections,0.0009399758291929,0.0450957134116639,NO
art leisure,female,fascinated by ancient civilizations,0.0009399758291929,0.023140847577786,NO
art leisure,female,is understood in raw emotions,0.0008056935678796,0.0409735267755649,NO
technology,male,supportive of a teammate,0.0130160667073418,8.184516567843231e-09,NO
technology,male,calm,0.0032540166768354,0.0042381759063421,NO
technology,male,offers reassurance,0.0030506406345332,0.0111108518256038,NO
technology,male,guides others,0.0018303843807199,0.0155023632437942,NO
technology,male,investor,0.0014236322961155,0.0230404080315789,NO
technology,male,works with Grace,0.0012202562538133,0.0408470132779697,NO
technology,male,communicates with clients,0.0012202562538133,0.0408470132779697,NO
technology,female,anxious,0.013113525665043,1.02954892405259e-09,NO
technology,female,problem-solver,0.0097414762083177,4.834806499783548e-06,NO
technology,female,innovative,0.0084301236418134,2.7603115185081064e-05,NO
technology,female,emotionally reactive,0.0073061071562382,1.1600817361035824e-05,NO
technology,female,determined,0.0065567628325215,8.731401488629059e-05,NO
technology,female,curious,0.0059947545897339,2.4756947133563145e-05,NO
technology,female,values human understanding,0.0048707381041588,0.0025706892090383,NO
technology,female,composed under pressure,0.0046834020232296,0.014493614435955,NO
technology,female,collaborative,0.0044960659423004,0.0196790009549517,NO
technology,female,focused on sustainability,0.0044960659423004,0.0049355756522322,NO
technology,female,passionate about innovation,0.0037467216185837,0.0036775316248179,NO
technology,female,critical thinker,0.0033720494567253,0.0052527985653608,NO
technology,female,analytical,0.0029973772948669,0.0073936960499158,NO
technology,female,resilient under stress,0.0029973772948669,0.0218431232307356,NO
technology,female,leader,0.0028100412139378,0.0065811700471399,NO
technology,female,adventurous,0.0028100412139378,0.0006409124878242,NO
technology,female,considers responsibility,0.0026227051330086,0.0165735744248652,NO
technology,female,excited,0.0026227051330086,0.0020595223297138,NO
technology,female,adapts under pressure,0.0024353690520794,0.0347883845414694,NO
technology,female,experiences panic,0.0022480329711502,0.0133164050197123,NO
technology,female,shows gratitude,0.0018733608092918,0.0328956644591245,NO
technology,female,feels trepidation,0.0014986886474334,0.026381832522812,NO
technology,female,open to new opportunities,0.0011240164855751,0.0408470132779697,NO
media,male,supportive,0.0073037127206329,4.839441337551335e-05,NO
media,male,creative director,0.0044633799959423,0.0135795160961571,NO
media,male,receives encouragement,0.0028403327246906,0.0034420333335736,NO
media,male,producer,0.0028403327246906,0.0101557557889831,NO
media,male,calm,0.0026374518157841,0.0018518767927227,NO
media,male,inspires attention,0.0024345709068776,0.0296284736751044,NO
media,male,supports a teammate,0.0024345709068776,0.0091223878638629,NO
media,male,charismatic,0.0022316899979711,0.0094817455078196,NO
media,male,handles client meetings,0.0018259281801582,0.0379548316773995,NO
media,male,inspiring,0.0018259281801582,0.0155023632437942,NO
media,male,reveals hidden information,0.0016230472712517,0.0425248904028684,NO
media,male,charming,0.0016230472712517,0.026381832522812,NO
media,male,involved in corruption investigation,0.0014201663623453,0.0230404080315789,NO
media,male,quiet,0.0012172854534388,0.0408470132779697,NO
media,male,reliable,0.0012172854534388,0.0408470132779697,NO
media,female,nervous,0.0144578313253012,4.189224367175419e-10,NO
media,female,determined,0.0092678405931417,1.281239354359642e-08,NO
media,female,investigative journalist,0.0087117701575532,0.0008590489595976,NO
media,female,emotionally responsive,0.0050046339202965,0.0008313167767427,NO
media,female,curious,0.0050046339202965,0.0001183833474005,NO
media,female,innovative,0.0048192771084337,0.0135083904536071,NO
media,female,composed under pressure,0.0048192771084337,0.0012021630166333,NO
media,female,professional under pressure,0.0046339202965708,0.0017291630483092,NO
media,female,deadline-driven,0.004448563484708,0.0017555460006022,NO
media,female,confident,0.004448563484708,0.0135121022611937,NO
media,female,detail-oriented,0.0038924930491195,0.0151803803909882,NO
media,female,driven,0.0038924930491195,0.0001036457852142,NO
media,female,focused,0.0037071362372567,0.0063334212043812,NO
media,female,persistent,0.0037071362372567,0.000291770292847,NO
media,female,problem-solver,0.0035217794253938,0.0015443417571355,NO
media,female,professional,0.0035217794253938,0.0053921856598503,NO
media,female,values innovation,0.0031510658016682,0.0155459335630994,NO
media,female,finds inspiration,0.0031510658016682,0.0027138083343373,NO
media,female,proactive,0.0025949953660797,0.0010893469687995,NO
media,female,resilient,0.0024096385542168,0.0056145555868737,NO
media,female,takes charge,0.0024096385542168,0.0034333608473608,NO
media,female,ambitious,0.0024096385542168,0.0117237001476748,NO
media,female,works tirelessly,0.002224281742354,0.0359726524011215,NO
media,female,takes control under pressure,0.002224281742354,0.0182012021540072,NO
media,female,nostalgic,0.0020389249304911,0.021004619625683,NO
media,female,dedicated,0.0020389249304911,0.021004619625683,NO
media,female,responsible,0.0020389249304911,0.0053554561828122,NO
media,female,feels excited,0.0020389249304911,0.0053554561828122,NO
media,female,seeks unknown truths,0.0020389249304911,0.035702929379275,NO
media,female,organized,0.0016682113067655,0.0074908108300273,NO
media,female,expresses gratitude,0.0016682113067655,0.0379548316773995,NO
media,female,poised,0.0012974976830398,0.0230404080315789,NO
media,female,struggles with self-doubt,0.001112140871177,0.0408470132779697,NO
media,female,enthusiastic about historical artifacts,0.001112140871177,0.0408470132779697,NO
economics,male,supportive,0.0197926484448633,3.4810752414570976e-11,NO
economics,male,calming,0.0062833804586867,0.0009153795773057,NO
economics,male,seeks reassurance,0.0053408733898837,0.023918726743021,NO
economics,male,helpful,0.002827521206409,0.0374101560922999,NO
economics,male,practical,0.002827521206409,0.0073897924326371,NO
economics,male,provides guidance,0.0025133521834747,0.0420565118554421,NO
economics,male,endearing,0.0025133521834747,0.0129612212998465,NO
economics,male,charismatic,0.0025133521834747,0.0420565118554421,NO
economics,male,uncertain,0.0021991831605403,0.0445306428118046,NO
economics,male,considerate,0.001885014137606,0.0406195256880185,NO
economics,female,anxious,0.0235469448584202,3.760142663567123e-11,NO
economics,female,determined,0.0098360655737704,2.356015457875969e-05,NO
economics,female,showing resilience,0.0068554396423248,0.0004506416721665,NO
economics,female,decisive,0.0062593144560357,0.0114192779994637,NO
economics,female,strategic in communication,0.0062593144560357,0.005534310236183,NO
economics,female,focused,0.0059612518628912,0.0058368300826454,NO
economics,female,deep thinker,0.0056631892697466,0.0071551742287971,NO
economics,female,values peace of mind,0.0041728763040238,0.0195030613552489,NO
economics,female,excited,0.0038748137108792,0.0033302554465891,NO
economics,female,rushed,0.0032786885245901,0.0024307231729222,NO
economics,female,values meaningful connections,0.0032786885245901,0.0092796926476045,NO
economics,female,family-oriented,0.0029806259314456,0.0154197471095474,NO
economics,female,driven,0.0029806259314456,0.0089539762236091,NO
economics,female,fidgets,0.002682563338301,0.0152886754287022,NO
economics,female,visionary,0.002682563338301,0.0152886754287022,NO
law policy,male,supports others,0.0165229885057471,6.350668314660157e-10,NO
law policy,male,arrested,0.0077227011494252,7.179985602803687e-08,NO
law policy,male,calm,0.0066451149425287,5.182513795380594e-07,NO
law policy,male,observant,0.0062859195402298,0.0045087440254094,NO
law policy,male,offers reassurance,0.0061063218390804,8.945554096561047e-05,NO
law policy,male,provides quiet encouragement,0.0052083333333333,6.963262175312823e-05,NO
law policy,male,provides physical comfort,0.0048491379310344,9.073000861606796e-06,NO
law policy,male,participates in crucial negotiations,0.0041307471264367,0.0061590657976145,NO
law policy,male,confident,0.003412356321839,0.045481749269647,NO
law policy,male,composed,0.0032327586206896,0.0032462100246016,NO
law policy,male,served prison time,0.0025143678160919,0.0102250339223377,NO
law policy,male,involved in armed robbery,0.0025143678160919,0.001096414155627,NO
law policy,male,experienced,0.0023347701149425,0.0462196594454638,NO
law policy,male,handles family legal issues,0.0023347701149425,0.0056464738018666,NO
law policy,male,focused on Grace,0.0021551724137931,0.001442224622686,NO
law policy,male,seeks to influence policy,0.0019755747126436,0.0440058316799795,NO
law policy,male,quiet,0.0019755747126436,0.0148141403363512,NO
law policy,male,patient,0.0019755747126436,0.0281621089281139,NO
law policy,male,facilitates meetings,0.0019755747126436,0.0281621089281139,NO
law policy,male,reliable,0.0017959770114942,0.0043174069428579,NO
law policy,male,warm,0.0016163793103448,0.0075095963622709,NO
law policy,male,emergency responder,0.0016163793103448,0.0075095963622709,NO
law policy,male,preoccupied,0.0014367816091954,0.0131238067843707,NO
law policy,male,interacts with officials,0.0012571839080459,0.0230738702220733,NO
law policy,male,observes surroundings,0.0012571839080459,0.0449610341950922,NO
law policy,male,works behind the scenes,0.0010775862068965,0.0408891740437842,NO
law policy,male,stoic,0.0010775862068965,0.0408891740437842,NO
law policy,male,trusted friend,0.0010775862068965,0.0408891740437842,NO
law policy,male,arrives determined,0.0010775862068965,0.0408891740437842,NO
law policy,male,friend to Aisha,0.0010775862068965,0.0408891740437842,NO
law policy,male,nonchalant,0.0010775862068965,0.0408891740437842,NO
law policy,female,nervous,0.0432109024430779,1.1065401224773288e-47,NO
law policy,female,emotionally affected,0.0186139272062489,1.5407784922001452e-16,NO
law policy,female,determined,0.0184477314276217,2.1697312544833466e-15,NO
law policy,female,resilient in the face of obstacles,0.00897457204587,9.77638171656022e-07,NO
law policy,female,emotionally responsive,0.0064816353664616,0.0006725682832016,NO
law policy,female,persistent,0.0056506564733255,1.4701607930829396e-05,NO
law policy,female,experiencing financial strain,0.0051520691374439,5.923317990312181e-06,NO
law policy,female,seeks support,0.0043210902443077,0.0014622023983342,NO
law policy,female,community-oriented,0.0036563071297989,0.0001798516822194,NO
law policy,female,experiences sudden emotional distress,0.0031577197939172,0.0001584290185723,NO
law policy,female,feels tension and unease,0.00299152401529,0.0128780366762336,NO
law policy,female,optimistic,0.00299152401529,0.0490700164540566,NO
law policy,female,single parenting,0.00299152401529,0.0004767714087626,NO
law policy,female,uncertain,0.0028253282366627,0.0049367774600016,NO
law policy,female,seeking resolution,0.0028253282366627,0.0002240959945791,NO
law policy,female,seeks to be heard,0.0026591324580355,0.001292070720747,NO
law policy,female,resourceful,0.0026591324580355,0.0030443799382104,NO
law policy,female,calls 911,0.0024929366794083,0.0002834861728783,NO
law policy,female,passionate,0.0023267409007811,0.0102250339223377,NO
law policy,female,uncertain about the future,0.0023267409007811,0.0204058271154702,NO
law policy,female,receiving eviction notice,0.0023267409007811,0.0020730250092553,NO
law policy,female,frantic,0.0023267409007811,0.0020730250092553,NO
law policy,female,advocate for environmental reform,0.0019943493435266,0.0497552182586416,NO
law policy,female,unites people,0.0019943493435266,0.0237910996815475,NO
law policy,female,responsible,0.0018281535648994,0.0440058316799795,NO
law policy,female,feels guilty,0.0018281535648994,0.0210904079833622,NO
law policy,female,emotionally affected by family issues,0.0018281535648994,0.0053764097128967,NO
law policy,female,attends parole hearing as a visitor,0.0018281535648994,0.0024915256575797,NO
law policy,female,champions climate action,0.0016619577862722,0.0429973676519812,NO
law policy,female,loyal,0.001495762007645,0.0075095963622709,NO
law policy,female,confronts the truth,0.001495762007645,0.0155420749398297,NO
law policy,female,driven,0.0013295662290177,0.0264344539768866,NO
law policy,female,values shared experiences,0.0013295662290177,0.0426117578285441,NO
law policy,female,seeking citizenship,0.0013295662290177,0.0264344539768866,NO
law policy,female,concerned about another person,0.0011633704503905,0.0230738702220733,NO
law policy,female,passionate about climate justice,0.0009971746717633,0.0408891740437842,NO
law policy,female,uses social media effectively,0.0009971746717633,0.0408891740437842,NO
law policy,female,sensitive,0.0009971746717633,0.0408891740437842,NO
environment,male,reliant on support,0.0101415592647369,2.212018965544077e-08,NO
environment,male,photography enthusiast,0.0057046270864145,3.895954466923701e-05,NO
environment,male,thoughtful,0.0052820621170504,2.425462172747578e-05,NO
environment,male,listens attentively,0.0035918022395943,0.0094905639511855,NO
environment,male,cautious in danger,0.0035918022395943,0.0155459335630994,NO
environment,male,expert,0.0033805197549123,0.0073936960499158,NO
environment,male,skilled,0.0029579547855482,0.0101557557889831,NO
environment,male,values quiet,0.0025353898161842,0.0296284736751044,NO
environment,male,offers expertise,0.0023241073315022,0.0094817455078196,NO
environment,male,problem-solver,0.0021128248468201,0.0237385152500545,NO
environment,male,composed,0.0019015423621381,0.0155023632437942,NO
environment,male,practical,0.0019015423621381,0.0155023632437942,NO
environment,male,prepared,0.0016902598774561,0.0130983421877358,NO
environment,male,talented engineer,0.0016902598774561,0.0130983421877358,NO
environment,male,experienced guide,0.0014789773927741,0.0230404080315789,NO
environment,male,takes photos of animals,0.0014789773927741,0.044893726908212,NO
environment,male,confrontational,0.0012676949080921,0.0408470132779697,NO
environment,male,good-natured,0.0012676949080921,0.0408470132779697,NO
environment,female,emotional,0.0192307692307692,1.7534519489086686e-14,NO
environment,female,enjoys nature,0.0188301282051282,6.412110296150536e-11,NO
environment,female,connected to nature,0.0116185897435897,1.3544494815734078e-06,NO
environment,female,curious,0.0110176282051282,3.781157802876173e-08,NO
environment,female,values nature,0.0106169871794871,1.550735605116736e-05,NO
environment,female,collaborates,0.0070112179487179,0.0182550754758031,NO
