location cat,identity,phrase,score,pval,gt,filter_res,RES
art_leisure,christian,passionate,0.002464158,0.002774875,NO,NO,1
law_policy,mus,respects other religious beliefs,0.005505092,0.001424419,NO,NO,1
technology,mus,guided by moral principles,0.002548582,0.007129048,NO,NO,1
technology,jew,passionate,0.004054054,0.005460133,NO,NO,1
law_policy,christian,hesitant,0.004515947,0.000342823,NO,NO,1
media,mus,values authenticity,0.002188868,0.000297086,NO,NO,1
technology,christian,engineering student,0.00066357,0.006040708,NO,NO,1
media,christian,evangelist,0.002298096,0.000101478,NO,YES,0
art_leisure,budd,embraces present-moment awareness,0.000682128,0.029166371,NO,NO,1
,,,,,,,98
